"parcela","plantula","cortadas","morta","adulta.viva"
"279",2,3,0,3
"280",0,0,0,3
"281",3,0,0,4
"282",1,0,0,4
"283",0,0,0,1
"284",3,0,0,11
"285",2,3,0,19
"286",37,9,0,2
"287",12,18,0,7
"288",10,3,0,8
"289",1,2,0,3
"290",7,0,0,5
"291",1,0,0,1
"292",0,3,0,2
"293",0,1,0,16
"294",0,0,0,11
"295",0,0,0,13
"296",0,5,0,11
"297",2,3,0,2
"298",2,2,NA,NA
"299",0,0,0,2
"300",2,3,0,4
"301",3,2,0,6
"302",11,1,0,3
"303",7,0,0,1
"304",2,5,NA,NA
"305",0,2,0,7
"306",10,2,0,5
"307",7,0,0,3
"308",0,0,0,1
"309",0,0,0,3
"310",0,0,0,2
"311",0,5,0,2
"312",0,0,0,2
"313",0,3,0,1
"314",1,0,0,2
"315",1,2,0,1
"316",2,0,0,1
"317",0,3,0,1
"318",5,0,0,2
"319",8,3,NA,NA
"320",3,2,0,4
"321",2,5,0,1
"322",1,2,0,4
"323",0,1,0,2
"324",0,0,0,3
"325",3,1,0,6
"326",0,2,0,2
"327",5,3,NA,NA
"328",0,0,0,2
"329",5,2,0,4
"330",7,8,0,2
"331",11,6,NA,NA
"332",0,3,0,3
"333",0,1,0,4
"334",2,0,0,1
"335",0,0,NA,NA
"336",0,0,NA,NA
"337",0,0,NA,NA
"338",0,0,NA,NA
"339",0,0,NA,NA
"340",0,0,NA,NA
"341",0,0,NA,NA
"342",0,0,NA,NA
"343",0,0,NA,NA
"344",0,0,NA,NA
"345",0,3,0,3
"346",0,0,NA,NA
"347",0,0,NA,NA
"348",0,0,NA,NA
"349",0,3,0,11
"350",0,0,0,1
"351",3,0,0,4
"352",0,3,0,6
"353",0,0,0,2
"354",0,0,NA,NA
"355",0,0,NA,NA
"356",0,1,0,1
"357",0,1,0,2
"358",0,0,0,1
"359",0,0,NA,NA
"360",0,0,NA,NA
"361",14,1,0,15
"362",11,0,0,31
"363",0,0,0,16
"364",18,0,0,12
"365",87,0,0,25
"366",32,3,0,17
"367",23,0,0,4
"368",29,3,0,18
"369",30,0,0,11
"370",14,0,0,40
"371",3,0,0,23
"372",60,0,0,42
"373",12,0,0,12
"374",9,1,0,6
"375",1,0,NA,NA
"376",16,2,0,21
"377",5,0,0,2
"378",11,0,0,6
"379",10,4,0,19
"380",0,0,NA,NA
"381",0,1,0,3
"382",11,25,0,1
"383",3,1,0,2
"384",16,7,0,2
"385",28,4,NA,NA
"386",24,24,0,2
"387",6,2,0,3
"388",36,0,0,1
"389",10,17,0,6
"390",3,11,0,8
"391",11,19,0,5
"392",18,0,0,2
"393",20,46,0,7
"394",39,26,0,6
"395",18,11,0,12
"396",71,11,0,22
"397",1,1,1,7
"398",1,1,0,5
"399",3,6,1,7
"400",46,1,0,14
"401",6,0,0,9
"402",3,7,0,8
"403",2,2,0,10
"404",7,0,0,9
"405",44,8,1,14
"406",38,7,0,14
"407",17,4,1,22
"408",26,0,2,7
"409",2,2,0,9
"410",2,0,0,11
"411",4,0,0,22
"412",2,0,0,3
"413",0,5,0,10
"414",10,11,0,19
"415",10,5,0,15
"416",2,12,0,18
"417",0,0,0,1
"418",0,0,NA,NA
"419",3,4,0,1
"420",0,0,0,1
"421",0,0,NA,NA
"422",0,0,NA,NA
"423",0,0,0,3
"424",0,0,0,1
"425",0,0,NA,NA
"426",0,0,NA,NA
"427",0,0,0,1
"428",0,0,NA,NA
"429",1,0,0,2
"430",1,5,0,3
"431",3,4,0,5
"432",0,2,0,3
"433",0,0,0,3
"434",0,0,0,1
"435",0,0,NA,NA
"436",0,0,0,4
"437",7,0,0,9
"438",6,0,0,7
"439",5,4,0,8
"440",12,8,0,11
"441",0,0,0,2
"442",0,0,0,3
"443",0,0,NA,NA
"444",0,0,0,8
"445",0,0,0,1
"446",1,0,0,7
"447",0,0,0,1
"448",0,0,NA,NA
"449",0,11,0,2
"450",0,7,0,1
"451",0,2,0,3
"452",1,7,0,1
"453",0,0,0,3
"454",0,1,0,13
"455",0,0,0,2
"456",1,1,0,3
"457",1,1,0,1
"458",0,0,0,7
"459",0,5,0,7
"460",1,3,0,5
"461",0,0,0,1
"462",0,0,NA,NA
"463",0,0,NA,NA
"464",0,0,NA,NA
"465",2,0,NA,NA
"466",1,0,NA,NA
"467",0,1,NA,NA
"468",0,0,NA,NA
"469",3,0,NA,NA
"470",2,4,NA,NA
"471",3,1,0,9
"472",5,14,0,6
"473",0,0,NA,NA
"474",0,2,0,1
"475",0,0,NA,NA
"476",0,0,NA,NA
"477",0,0,0,1
"478",0,0,0,3
"479",0,0,NA,NA
"480",0,0,0,1
"481",2,4,0,7
"482",0,0,0,3
"483",0,0,0,2
"484",0,0,NA,NA
"485",0,1,0,5
"486",0,0,0,2
"487",0,3,0,3
"488",0,0,0,1
"489",2,1,0,1
"490",6,0,0,4
"491",0,0,0,4
"492",14,0,NA,NA
"493",0,1,0,3
"494",1,0,0,5
"495",1,2,0,2
"496",1,2,0,1
"497",0,0,0,4
"498",0,0,0,8
"499",3,1,0,6
"500",2,5,1,13
"501",0,1,0,11
"502",0,2,0,10
"503",5,0,0,6
"504",2,4,0,5
"505",0,6,0,5
"506",7,1,0,8
"507",3,3,1,12
"508",0,4,0,8
"509",0,3,0,1
"510",0,1,0,9
"511",0,8,0,4
"512",2,0,0,8
"513",1,2,0,3
"514",0,0,1,6
"515",0,3,3,2
"516",3,7,0,4
"517",0,0,0,8
"518",0,0,0,2
"519",1,5,0,7
"520",0,1,0,5
"521",0,0,NA,NA
"522",0,0,NA,NA
"523",0,0,NA,NA
"524",0,0,NA,NA
"525",0,0,0,2
"526",0,0,0,4
"527",0,3,0,3
"528",0,0,NA,NA
"529",0,9,0,5
"530",0,5,0,3
"531",6,8,0,1
"532",0,3,NA,NA
"533",0,0,0,6
"534",0,7,1,3
"535",0,1,0,9
"536",0,1,0,4
"537",0,1,0,8
"538",0,4,0,5
"539",2,0,0,2
"540",1,1,0,3
"541",1,2,0,4
"542",0,4,0,4
"543",1,2,0,1
"544",0,4,0,10
"545",0,0,0,9
"546",0,2,0,1
"547",0,5,0,2
"548",1,4,0,6
"549",2,16,0,2
"550",1,10,NA,NA
"551",0,5,0,1
"552",0,12,NA,NA
"553",0,9,NA,NA
"554",2,15,0,2
"555",0,7,0,3
"556",0,5,0,1
"557",7,2,0,1
"558",0,8,NA,NA
"559",0,2,0,1
"560",1,12,0,3
"561",0,3,0,2
"562",0,8,0,1
"563",4,8,0,1
"564",0,6,0,2
"565",1,6,NA,NA
"566",1,5,0,1
"567",0,3,0,1
"568",0,2,0,1
