"Env","C","ratio"
"open",1.5064293409502,30.1025163094129
"open",1.39741314915684,25.7899081347357
"open",1.46583644338392,22.1067767274664
"open",1.41663005349913,17.0310211689522
"open",1.79298638356174,37.6429237118892
"open",2.01370481460014,37.7329250432699
"open",2.06946963995752,37.404340300892
"open",3.06473757835322,41.0187724670483
"open",2.79482629831368,38.11423245906
"open",1.94610713365332,34.0625748901611
"open",1.73279795841658,30.0806816668886
"open",1.74467179579639,29.3228598056184
"open",1.81144732852781,28.5602449740381
"open",1.94610713365332,31.5760884036746
"open",1.97286955151795,30.709093329783
"open",1.6519132559793,22.7367860471309
"open",1.53761003325958,19.39661829317
"open",1.70929216554627,18.0828118759153
"open",1.81144732852781,19.6953801091732
"open",1.95276350943644,23.683663959526
"open",2.23854539764033,25.8245240314206
"open",2.9719885782739,29.9965384103315
"open",3.12817277364713,25.0155771535082
"open",2.00684070847696,19.0307548928239
"open",2.19315066571571,19.125016642258
"open",1.93286237341569,16.2258021568366
"open",2.5313403158898,16.9404872853149
"open",2.5749278704352,15.6405272267341
"shelter",2.33187108069082,49.0143110334171
"shelter",2.67800934860751,47.0714697445757
"shelter",3.70653448755994,41.2429458780514
"shelter",2.83624398536942,39.9477183521571
"shelter",4.05267275547663,38.8683620805785
"shelter",3.00436828692896,35.9541001473164
"shelter",3.74609314675042,35.0906151300535
"shelter",3.67686549316709,34.2271301127907
"shelter",3.90432778351234,34.9826795028957
"shelter",4.10212107946473,34.5509369942642
"shelter",1.32312527133363,30.0176406536342
"shelter",1.70882219844079,29.1541556363714
"shelter",1.95606381838128,30.1255762807921
"shelter",2.8758026445599,27.9668637376349
"shelter",2.77690599658371,25.4843443130042
"shelter",2.73734733739323,24.2970524142678
"shelter",2.63845068941703,22.3542111254264
"shelter",2.65823001901227,21.4907261081635
"shelter",2.12418811994081,20.6272410909006
"shelter",2.23297443271463,20.5193054637428
"shelter",2.40109873427416,19.3320135650064
"shelter",2.14396744953605,18.5764641749014
"shelter",2.07473979595272,18.9002710563749
"shelter",1.94617415358366,20.3034342094271
"shelter",1.90661549439318,19.8716917007956
"shelter",1.80771884641699,23.9732455327942
"shelter",1.6099255504646,24.5129236685835
"shelter",3.55818951559565,28.8303487548978
"shelter",3.58785850998851,30.5573187894235
"shelter",3.80543113553614,29.0462200092135
"shelter",3.85487945952424,29.1541556363714
"shelter",3.95377610750043,27.3192499746878
"shelter",4.08234174986949,27.8589281104771
"shelter",4.16145906825044,28.1827349919507
"shelter",4.61638364894094,32.5001600782649
"shelter",2.96480962773848,24.0811811599521
"shelter",2.89558197415514,23.2176961426892
"shelter",2.91536130375038,21.5986617353214
"shelter",2.96480962773848,21.0589835995321
"shelter",2.85602331496466,18.3605929205856
"shelter",2.89558197415514,16.8494941403756
"shelter",3.15271325889325,19.0082066835328
"shelter",3.34061689004802,21.0589835995321
"shelter",3.58785850998851,23.2176961426892
"shelter",3.3307272252504,25.1605374315307
"shelter",3.98344510189329,25.0526018043728
"shelter",4.17134873304806,25.8081511944778
"shelter",4.39881102339331,25.2684730586885
"shelter",3.92410711310758,24.1891167871099
"shelter",4.04278309067901,23.1097605155314
"shelter",4.08234174986949,21.5986617353214
"shelter",3.94388644270281,22.1383398711107
"shelter",4.00322443148853,20.9510479723742
"shelter",3.65708616357185,21.8145329896371
"shelter",3.84498979472662,20.6272410909006
"shelter",3.72631381715518,19.5478848193221
"shelter",5.90204007263149,24.9446661772149
"shelter",4.40870068819093,21.2748548538478
"shelter",4.31969370501236,22.0304042439528
"shelter",4.53726633055999,22.0304042439528
"shelter",0.353938121166911,13.6114253256399
"shelter",1.07588365139314,8.32257959490492
"shelter",1.70882219844079,17.6050435304806
"shelter",1.77804985202413,16.0939447502706
"shelter",1.81760851121461,15.1225241058499
"shelter",1.83738784080985,13.6114253256399
"shelter",1.95606381838128,13.5034896984821
"shelter",1.80771884641699,11.4527127824828
"shelter",2.4703263878575,16.5256872589021
"shelter",2.59889203022655,15.7701378687971
"shelter",2.59889203022655,14.6907815972185
"shelter",2.64834035421465,13.9352322071135
"shelter",2.4703263878575,9.83367837511493
"shelter",3.18238225328611,11.4527127824828
"shelter",3.19227191808373,15.3383953601656
"shelter",3.32083756045278,16.0939447502706
"shelter",4.04278309067901,14.1511034614292
"shelter",4.05267275547663,12.3161977997456
"shelter",4.56693532495285,15.2304597330078
